Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WO Creation,Chrome 113.0.0.0,,,2023-05-31 16:44:17,2023-05-31 16:45:45,1m - 28.279s,FAILED
,,,,,,,
Test Cases/Login,Chrome 113.0.0.0,,,2023-05-31 16:44:17,2023-05-31 16:44:34,17.065s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-31 16:44:17,2023-05-31 16:44:20,2.494s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-31 16:44:20,2023-05-31 16:44:20,0.157s,PASSED
"navigateToUrl(""https://service-dev-fe.bukittechnology.com/#/sign-in"")",Chrome 113.0.0.0,,,2023-05-31 16:44:20,2023-05-31 16:44:23,3.220s,PASSED
"click(findTestObject(""Object Repository/Page_BUMA AUSTRALIA/button_Sign in Microsoft""))",Chrome 113.0.0.0,,,2023-05-31 16:44:23,2023-05-31 16:44:24,0.494s,PASSED
"switchToWindowTitle(""Sign in to your account"")",Chrome 113.0.0.0,,,2023-05-31 16:44:24,2023-05-31 16:44:26,2.320s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_loginfmt""), ""bumaau.tester.supervisor@bukittech.onmicrosoft.com"")",Chrome 113.0.0.0,,,2023-05-31 16:44:26,2023-05-31 16:44:27,1.468s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 113.0.0.0,,,2023-05-31 16:44:27,2023-05-31 16:44:28,0.426s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign in to your account/input_Enter password_passwd""), ""RrCFvfKds9jTMrd3MNZ02Q=="")",Chrome 113.0.0.0,,,2023-05-31 16:44:28,2023-05-31 16:44:29,1.295s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 113.0.0.0,,,2023-05-31 16:44:29,2023-05-31 16:44:30,0.803s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_concat(Don, , t show this again)_idBtn_Back""))",Chrome 113.0.0.0,,,2023-05-31 16:44:30,2023-05-31 16:44:32,1.897s,PASSED
"switchToWindowTitle(""BUMA AUSTRALIA - Dashboard"")",Chrome 113.0.0.0,,,2023-05-31 16:44:32,2023-05-31 16:44:34,2.235s,PASSED
,,,,,,,
Test Cases/Create WO,Chrome 113.0.0.0,,,2023-05-31 16:44:34,2023-05-31 16:45:13,38.843s,PASSED
now = LocalDateTime.now(),Chrome 113.0.0.0,,,2023-05-31 16:44:35,2023-05-31 16:44:35,0.015s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyMMdd"")",Chrome 113.0.0.0,,,2023-05-31 16:44:35,2023-05-31 16:44:35,0.020s,PASSED
formattedDate = now.format(formatter),Chrome 113.0.0.0,,,2023-05-31 16:44:35,2023-05-31 16:44:35,0.008s,PASSED
random = new java.util.Random(),Chrome 113.0.0.0,,,2023-05-31 16:44:35,2023-05-31 16:44:35,0.008s,PASSED
randomNumber1 = random.nextInt(10),Chrome 113.0.0.0,,,2023-05-31 16:44:35,2023-05-31 16:44:35,0.006s,PASSED
randomNumber2 = random.nextInt(10),Chrome 113.0.0.0,,,2023-05-31 16:44:35,2023-05-31 16:44:35,0.001s,PASSED
